COD;NOME_LOCAL;COD_LOCAL;NIVEL
12110;STO.ANTONIO SUDOESTE;805;S
12115;SAO GABRIEL DA PALHA;806;S
12120;SAO SEBASTIAO DO CAI;807;S
12125;SOBRADINHO-RS;808;S
12130;TAIO;809;S
12135;TOCANTINOPOLIS;810;S
12140;VALINHOS;811;S
12145;VASSOURAS;812;S
12150;BROOKLIN PAULISTA;813;S
12155;BOCA DO ACRE;814;S
12160;CAPITAO POCO;815;S
12165;CARINHANHA;816;S
12170;IBOTIRAMA;817;S
12175;MANACAPURU;818;S
12180;MANICORE;819;S
12185;PARAGOMINAS;820;S
12190;PAULISTA;821;S
12200;SANTA QUITERIA;823;S
12205;SAO MIGUEL CAMPOS;824;S
12210;IBIUNA;825;S
12215;TAGUATINGA CENTRO;826;S
12225;JOAO COLIN;828;S
12230;ARACRUZ;829;S
12235;ASSIS CHATEAUBRIAND;830;S
12240;ATALAIA;831;S
12245;BARRA DO BUGRES;832;S
12250;BARRA SAO FRANCISCO;833;S
12255;BONITO-PE;834;S
12260;BOQUIM;835;S
12265;CACU;836;S
12270;CAMACAN;837;S
12275;CAMAPUA;838;S
12280;NAO-ME-TOQUE;839;S
12285;CAPAO BONITO;840;S
12290;CARDOSO;841;S
12295;CHOPINZINHO;842;S
12300;CLEVELANDIA;843;S
12305;ECOPORANGA;844;S
12310;FATIMA DO SUL;845;S
12315;GANDU;846;S
12320;GOIOERE;847;S
12325;IRAI;848;S
12330;ITABIRITO;849;S
12335;ITABORAI;850;S
12340;ITANHEM;851;S
12345;ITAPAJE;852;S
12350;ITURAMA;853;S
12355;JACIARA;854;S
12360;JAGUARI;855;S
12365;JANDAIA DO SUL;856;S
12370;LORENA;857;S
12375;MARAVILHA;858;S
12380;MAL.CANDIDO RONDON;859;S
12385;MIGUELOPOLIS;860;S
12390;MIRACEMA;861;S
12395;MIRACEMA TOCANTINS;862;S
12400;MORADA NOVA;863;S
